patient_id,Value,anomaly_kmeans,rolling_mean,rolling_std,z_score,anomaly_if,anomaly_svm,anomaly_lof,anomaly_dbscan,diff,cumsum,cumprod
10004,366,0,364.0,1.5811388300841898,1.2649110640673518,1,1,1,0,,366,367
10004,367,0,365.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,733,135056
10004,368,0,366.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,1101,49835664
10004,369,0,367.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,1470,18439195680
10004,370,0,368.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,1840,6840941597280
10004,371,0,369.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,2211,2544830274188160
10004,372,0,370.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,2583,949221692272183680
10004,373,0,371.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,2956,4520775509315215616
10004,374,0,372.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,3330,-1809638788072892672
10004,375,0,373.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,3705,2105346411845765120
10004,376,0,374.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,4081,505602096342730752
10004,377,0,375.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,4458,6650151680456708096
10004,378,0,376.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,4836,-6796451205116203008
10004,379,0,377.0,1.5811388300841898,1.2649110640673518,1,1,-1,0,1.0,5215,-107287624819916800
10004,380,0,378.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,5595,-3983096908969197568
10004,381,0,379.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,5976,-8910005182050238464
10004,382,0,380.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,6358,115668911025717248
10004,383,0,381.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,6741,7523373686456320000
10004,384,0,382.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,7125,360049713283596288
10004,385,0,383.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,7510,-8594763262208245760
10004,386,0,384.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,7896,-5759449206871818240
10004,387,0,385.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,8283,-2610259347409731584
10004,388,0,386.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,8671,-819962088360247296
10004,389,0,387.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,9060,-6190565207434067968
10004,390,0,388.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,9450,-3987522450769313792
10004,391,0,389.0,1.5811388300841898,1.2649110640673518,1,1,-1,0,1.0,9841,4864445563740880896
10004,392,0,390.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,10233,-6734277115627175936
10004,393,0,391.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,10626,3025963057068113920
10004,394,0,392.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,11020,-3782957249215856640
10004,395,0,393.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,11415,-3864800719005548544
10004,396,0,394.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,11811,-3246127327309987840
10004,397,0,395.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,12208,-686591109706547200
10004,398,0,396.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,12606,2751308332730941440
10004,399,0,397.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,13005,-6281311330196520960
10004,406,0,399.2,3.962322551231793,1.7161651814252354,1,1,1,0,7.0,13411,7603714855643643904
10004,407,0,401.4,4.722287581247046,1.1858659396853577,1,1,1,0,1.0,13818,3262656719402041344
10004,408,0,403.6,4.722287581247046,0.9317518097527724,1,1,1,0,1.0,14226,6261024928347193344
10004,409,0,405.8,3.962322551231793,0.8076071442001065,1,1,1,0,1.0,14635,2922794376721596416
10004,410,0,408.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,15045,2230124041455271936
10004,411,0,409.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,15456,-3526098605905543168
10004,412,0,410.0,1.5811388300841898,1.2649110640673518,1,1,1,0,1.0,15868,1014057584065249280
