CUST_ID,Value,anomaly_kmeans,rolling_mean,rolling_std,z_score,anomaly_if,anomaly_svm,anomaly_lof,anomaly_dbscan,diff,cumsum,cumprod
C10005,678.334763,0,1121.0472372,1691.0774017752192,-0.261793146626677,1,1,1,0,,678.334763,679.334763
C10006,1400.05777,0,1360.6983744000001,1611.2606092051565,0.0244277029892861,1,1,1,0,721.7230069999999,2078.3925329999997,951787.2481322584
C10007,6354.314328,0,1810.9547206000002,2587.797925855258,1.7556856205835452,1,1,1,0,4954.256558000001,8432.706861,6048907135.262633
C10008,679.065082,0,1822.3543886000002,2581.3689288050728,-0.44290039050297003,1,1,1,0,-5675.249246,9111.771943,4113650526952.7676
C10009,688.278568,0,1960.0101022,2476.0992083409774,-0.5136028192715585,1,1,1,0,9.213485999999989,9800.050511,2835451144470449.0
C10010,1164.770591,0,2057.2972678,2422.1199082774074,-0.3684898810128513,1,1,1,0,476.492023,10964.821102,3.3054855564409416e+18
C10011,1083.301007,0,1993.9459152000004,2447.6160539133666,-0.3720538222259236,1,1,1,0,-81.46958399999994,12048.122109,3.5841413174728684e+21
C10012,705.618627,0,864.2067750000002,239.12301811795223,-0.6632073701987714,1,1,1,0,-377.6823800000001,12753.740736,2.5326210167266494e+24
C10013,608.263689,0,850.0464964,254.43374408158945,-0.9502780705159428,1,1,1,0,-97.35493799999995,13362.004425,1.543034023489809e+27
C10014,1655.891435,0,1043.5690698000003,416.80582734683605,1.4690830238572186,1,1,1,0,1047.6277460000001,15017.895859999999,2.5566398574338535e+30
C10015,805.647974,0,971.7445464000002,421.61333562827883,-0.39395474090611204,1,1,1,0,-850.243461,15823.543833999998,2.0623083612466667e+33
C10016,1993.439277,0,1153.7722004000002,627.8487404719596,1.337371603180751,1,1,1,0,1187.791303,17816.983110999998,4.1131487969558566e+36
C10017,391.974562,0,1091.0433874000003,695.808102185435,-1.0046862392149845,1,1,1,0,-1601.464715,18208.957672999997,1.6163628469245546e+39
C10018,254.590662,0,1020.3087820000001,771.0634965591373,-0.9930675274046936,1,1,1,0,-137.38389999999998,18463.548334999996,4.131272500776516e+41
C10019,1720.837373,0,1033.2979696000002,784.8705412272457,0.8759908383425168,1,1,1,0,1466.246711,20184.385707999994,7.113379389884177e+44
C10020,1053.980464,0,1082.9644676000003,774.6541979982752,-0.03741540893329647,1,1,-1,0,-666.8569090000001,21238.366171999995,7.504476289348046e+47
C10021,223.0686,0,728.8903322000002,648.8394569677282,-0.7795791805940658,1,1,1,0,-830.9118639999999,21461.434771999993,1.6815174958874116e+50
C10022,2077.959051,0,1066.08723,839.9309489592288,1.204708342101009,1,1,1,0,1854.8904509999998,23539.39382299999,3.4958060174899895e+53
C10023,2359.629958,0,1487.0950892,858.8399178285894,1.01594587150308,1,1,1,0,281.67090700000017,25899.023780999993,8.25230441224354e+56
C10024,9479.043842,1,3038.736383,3698.9552547591734,1.7411152651045807,-1,1,1,0,7119.413884,35378.067622999995,7.82322076255988e+60
C10025,1422.726707,0,3112.4856315999996,3652.8795615040735,-0.46258270938016943,1,1,1,0,-8056.317134999999,36800.79433,1.1138128334413408e+64
C10026,215.306142,0,3110.9331399999996,3654.4159083472114,-0.7923638334065839,1,1,1,0,-1207.4205650000001,37016.100472,2.40924556911785e+66
C10027,890.178845,0,2873.3770988,3774.969282371288,-0.5253548056831425,1,1,1,0,674.872703,37906.279317,2.1470686836078134e+69
C10028,207.773715,0,2443.0058502,3966.0112376393176,-0.5635970251386564,1,1,1,0,-682.40513,38114.053032,4.482515054369629e+71
C10029,1601.448347,0,867.4867512000001,653.4651484386535,1.123183994668544,1,1,1,0,1393.674632,39715.501379,7.182998839277227e+74
C10030,160.767773,0,615.0949644,628.6332468750337,-0.7227221812694165,1,1,1,0,-1440.680574,39876.269152,1.161977725691462e+77
C10031,4230.323491,1,1418.0984342,1678.2946978092689,1.6756443671489198,1,1,1,0,4069.555718,44106.592643,4.916703646737037e+80
C10032,645.998299,0,1369.262325,1700.8973417790837,-0.42522497286255334,1,1,-1,0,-3584.3251920000002,44752.590942,3.1810988961259596e+83
C10033,1720.118876,0,1671.7313571999998,1572.324236608378,0.030774516905225417,1,1,1,0,1074.1205770000001,46472.709818,5.475049356545152e+86
C10034,423.449696,0,1436.131627,1670.669421214021,-0.6061533886602875,1,1,1,0,-1296.6691799999999,46896.159514000006,2.3238830349705856e+89
C10035,8735.607835,1,3151.0996394000003,3468.240504679955,1.6101848150566282,1,1,1,0,8312.158139000001,55631.76734900001,2.03028547309476e+93
C10036,351.500199,0,2375.3349810000004,3597.8725544383856,-0.5625087468713614,1,1,1,0,-8384.107636,55983.26754800001,7.156760332927121e+95
C10037,1636.361601,0,2573.4076414,3504.927248694763,-0.26735106720088314,1,1,-1,0,1284.861402,57619.62914900001,1.1718204556694845e+99
C10038,1617.894416,0,2552.9627494,3511.4410828491827,-0.26629190447395623,1,1,1,0,-18.467184999999972,59237.52356500001,1.897053592237904e+102
C10039,1237.111661,0,2715.6951424000003,3405.330490454234,-0.43419676461498846,1,1,1,0,-380.7827550000002,60474.63522600001,2.348764174091688e+105
C10040,20071.07544,1,4982.788663400001,8450.686573880608,1.7854509979384272,-1,-1,1,0,18833.963779,80545.71066600001,4.714457169313766e+109
C10041,3067.05783,0,5525.900189600001,8160.924509759332,-0.3012945845362945,-1,1,1,0,-17004.01761,83612.76849600002,1.4464227232512736e+113
C10043,1262.309666,0,5451.0898026,8207.077222840513,-0.5103863437451903,1,1,1,0,-1804.748164,84875.07816200002,1.827279807405377e+116
C10044,868.275275,0,5301.1659744,8300.916854749985,-0.5340242261146602,1,1,1,0,-394.03439100000014,85743.35343700001,1.588409157084256e+119
C10045,378.294227,0,5129.4024876,8414.147280324742,-0.5646571307005495,1,1,1,0,-489.981048,86121.64766400002,6.024744233959944e+121
C10046,1430.341501,0,1401.2556998,1015.5745946473077,0.02863974872284111,1,1,1,0,1052.047274,87551.98916500002,8.623466454977323e+124
C10047,0.0,0,787.8441338,598.502105656789,-1.3163598362539248,1,-1,1,0,-1430.341501,87551.98916500002,8.623466454977323e+124
C10048,176.013005,0,570.5848016,580.0928338820745,-0.6801873313267155,1,1,1,0,176.013005,87728.00217000002,1.5264657107122331e+127
C10049,0.0,0,396.92974660000004,598.372332021183,-0.663349097808801,1,-1,1,0,-176.013005,87728.00217000002,1.5264657107122331e+127
C10050,2543.953559,0,830.0616130000001,1129.551425442862,1.5173208650752985,1,1,1,0,2543.953559,90271.95572900002,3.8847843431685624e+130
C10051,587.866451,0,661.566603,1079.3418598229684,-0.06828249208465625,1,1,1,0,-1956.0871080000002,90859.82218000002,2.287619169062037e+133
C10052,8113.297346,1,2284.2260722,3412.6755388004826,1.708064891468954,1,1,1,0,7525.430895,98973.11952600002,1.8562422152178815e+137
C10053,1399.82834,0,2528.9891392,3264.3326098025036,-0.34590862334592665,1,1,1,0,-6713.469006,100372.94786600003,2.600276700981588e+140
C10054,691.825279,0,2667.354195,3142.7348794235263,-0.6286018362332785,1,1,1,0,-708.003061,101064.77314500003,1.8015374308347682e+143
C10055,3110.052742,0,2780.5740316,3147.371550950605,0.10468376709463705,1,1,1,0,2418.2274629999997,104174.82588700003,5.60467796401414e+146
